Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
ATMV,13.5,0.6225999999999999,3.85%,0.5625,3512157.0,56.25,1.73M,3.85M,55.20%,34.13%,1.37%,52.04M
BOF,2.8,0.33649999999999997,9.80%,0.21719999999999998,68272942.0,21.72,7.21M,10.72M,38.84%,2.69%,1.46%,32.98M
BYND,3.62,1.4626,56.03%,0.5782,1902712926.0,57.82,62.90M,76.60M,18.05%,72.45%,62.94%,277.85M
GSIT,10.86,-0.16269999999999998,-31.00%,0.21359999999999998,60765012.0,21.36,21.69M,29.09M,25.45%,14.47%,1.26%,315.93M
IBIO,1.11,0.243,0.91%,0.2318,61940029.0,23.18,19.12M,19.35M,5.61%,15.86%,2.47%,22.49M
IFBD,1.12,0.037000000000000005,-15.79%,0.23149999999999998,8329027.0,23.15,8.18M,8.19M,0.09%,0.65%,0.61%,9.17M
MEC,15.72,0.20829999999999999,-2.48%,0.239,1441506.0,23.9,15.53M,20.30M,23.57%,62.92%,3.85%,319.39M
NERV,6.41,1.4098,-5.04%,1.5375999999999999,166199372.0,153.76,5.44M,6.99M,22.26%,28.26%,0.72%,44.82M
RYOJ,9.12,1.4,87.27%,0.2816,23473258.0,28.16,2.59M,11.25M,77.01%,-,1.17%,102.60M
SPWR,2.0,0.1429,-11.50%,0.2914,43768056.0,29.14,52.59M,82.33M,36.73%,19.68%,22.10%,166.22M
