Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
BJDX,Bluejay Diagnostics Inc,Healthcare,Medical Devices,USA,3360000.0,,2.25,0.4803,36583198.0
EYEN,Eyenovia Inc,Healthcare,Biotechnology,USA,14070000.0,,4.88,0.5540999999999999,38508821.0
HSDT,Helius Medical Technologies Inc,Healthcare,Medical Devices,USA,580000.0,,1.09,-0.043899999999999995,15305211.0
KNW,Know Labs Inc,Technology,Scientific & Technical Instruments,USA,11700000.0,,1.56,2.0587999999999997,105820357.0
NAMM,Namib Minerals,Basic Materials,Gold,USA,457080000.0,,31.22,1.7386000000000001,1206413.0
NX,Quanex Building Products Corp,Industrials,Building Products & Equipment,USA,892650000.0,31.87,18.9,0.1059,1871186.0
OMDA,Omada Health Inc,Healthcare,Health Information Services,USA,1280000000.0,,23.0,0.21050000000000002,11204483.0
RENT,Rent the Runway Inc,Consumer Cyclical,Apparel Retail,USA,34670000.0,,8.62,0.2789,2249216.0
TGE,Generation Essentials Group,Technology,Software - Application,France,815100000.0,,12.0,0.19519999999999998,2636379.0
VERO,Venus Concept Inc,Healthcare,Medical Devices,Canada,4530000.0,,3.18,0.33049999999999996,61142084.0
WBUY,Webuy Global Ltd,Consumer Cyclical,Internet Retail,Singapore,157390000.0,,7.1,0.5435,37624206.0
