Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
ALTO,1.42,0.2241,-7.19%,0.319,24991332.0,31.9,67.46M,77.34M,12.84%,29.02%,0.65%,109.90M
FRGE,44.07,0.6872,0.99%,0.6708,4512294.0,67.08,9.25M,12.41M,31.96%,24.89%,2.22%,599.42M
FTEL,1.51,-0.31989999999999996,-55.46%,0.527,64168583.0,52.7,1.14M,20.12M,13.13%,0.94%,1.19%,1.99M
FWRD,20.9,0.1815,-4.74%,0.2402,1361523.0,24.02,20.99M,31.20M,31.83%,88.13%,21.37%,643.55M
GDEN,28.52,0.34340000000000004,-4.23%,0.40270000000000006,3059154.0,40.27,19.10M,26.16M,26.98%,72.74%,6.20%,746.03M
IOVA,2.31,0.2762,2.21%,0.2486,83531563.0,24.86,292.67M,341.92M,19.12%,53.38%,28.57%,835.89M
NXDR,1.67,-0.0291,-20.10%,0.2151,6954815.0,21.51,210.11M,240.90M,45.74%,37.04%,2.29%,665.95M
PHAR,14.7,0.1153,-7.14%,0.2011,41847.0,20.11,-,68.51M,-,1.32%,-,1.01B
SKYT,18.71,0.27190000000000003,5.05%,0.2107,7219549.0,21.07,29.66M,48.51M,38.44%,35.96%,12.85%,901.37M
STGW,5.62,0.1684,-16.37%,0.3971,72216848.0,39.71,106.74M,261.24M,58.74%,38.14%,7.29%,1.45B
