Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
ASST,1.64,0.49090000000000006,12.33%,0.3273,1050517308.0,32.73,269.36M,635.34M,57.45%,25.05%,4.93%,1.20B
BKYI,1.02,0.3245,-46.60%,1.4802000000000002,265186984.0,148.02,5.64M,6.85M,17.77%,1.24%,0.36%,7.01M
CEPU,13.16,0.3926,3.54%,0.345,1843729.0,34.5,151.34M,151.40M,-,3.71%,0.20%,1.99B
CLIK,10.46,0.6844,-2.15%,0.7214,15603075.0,72.14,0.17M,0.82M,99.04%,0.01%,9.96%,11.98M
CODX,1.26,2.5927999999999995,116.27%,0.6612,1104654828.0,66.12,43.08M,48.14M,10.53%,10.77%,0.26%,60.65M
EDN,26.54,0.36950000000000005,-1.70%,0.3932,1299326.0,39.32,22.09M,22.11M,-,16.32%,1.30%,586.80M
IRS,15.36,0.3028,7.34%,0.2137,1278441.0,21.37,76.24M,76.25M,0.02%,15.18%,1.17%,1.17B
KITT,2.01,0.142,-36.39%,0.7955,87632697.0,79.55,5.35M,5.70M,6.12%,3.41%,16.06%,11.47M
LOMA,10.36,0.3197,7.80%,0.2242,4741629.0,22.42,116.67M,116.68M,-,18.73%,0.38%,1.21B
RECT,3.44,-0.0115,-19.25%,0.2241,19314710.0,22.41,2.40M,14.50M,83.45%,0.36%,0.07%,49.88M
SOHO,2.15,1.4149,0.94%,1.3925,10452332.0,139.25,13.49M,20.49M,33.95%,19.73%,1.39%,88.31M
SUPV,9.96,0.4799,4.84%,0.41159999999999997,16545094.0,41.16,78.97M,79.00M,-,25.28%,5.62%,786.84M
TEO,10.89,0.375,10.67%,0.24239999999999998,2310918.0,24.24,125.59M,125.61M,0.01%,38.34%,0.19%,1.37B
UMAC,15.13,0.1783,-2.39%,0.2072,15958261.0,20.72,26.27M,31.11M,15.55%,12.12%,8.94%,470.62M
